Desligamento;Ex-trainee;Data de nascimento;Sexo;Data de admissão;Cargo;Área;Salário mensal médio;Posição crítica;Gestor;Avaliação de desempenho;Distância residência trabalho (Km);Tempo deslocamento (min);Turnover mercado;
0;0;30/08/1972;M;1/19/98;57;Operacional ;R$ 5.061,67;0;85;INSATISFATORIO;24;16;0,07;
0;0;14/07/1974;M;03/02/1998;29;Operacional ;R$ 6.731,67;0;86;BOM;20;13;0,13;
0;0;25/10/1960;F;08/03/1998;90;Administrativo;R$ 7.241,67;0;87;OTIMO;25;17;0,23;
0;0;16/03/1978;M;11/16/98;75;Operacional ;R$ 7.206,67;0;88;BOM;31;21;0,13;
0;0;20/06/1970;M;01/04/1999;91;Administrativo;R$ 8.310,00;0;86;OTIMO;23;15;0,05;
0;0;21/04/1979;M;2/22/99;89;Operacional ;R$ 6.230,00;0;89;BOM;17;11;0,03;
0;0;29/04/1976;M;03/01/1999;92;Operacional ;R$ 4.671,67;0;77;BOM;28;19;0,23;
0;0;25/08/1980;M;5/24/99;93;Administrativo;R$ 8.171,67;0;88;OTIMO;11;7;0,13;
0;0;29/01/1975;M;5/31/99;94;Gerência;R$ 51.038,33;1;9;OTIMO;10;6;0,14;
0;0;17/06/1975;M;6/21/99;95;Operacional ;R$ 7.650,00;0;75;OTIMO;5;3;0,07;
0;0;30/06/1975;F;11/09/1992;96;Administrativo;R$ 23.511,67;1;90;BOM;19;13;0,04;
0;0;19/12/1963;M;09/01/1999;97;Administrativo;R$ 14.013,33;0;22;OTIMO;0;0;0,09;
0;0;17/12/1980;M;8/24/98;98;Administrativo;R$ 13.490,00;0;91;OTIMO;25;17;0,12;
0;0;27/12/1969;M;6/26/00;99;Operacional ;R$ 4.673,33;0;92;BOM;4;2;0,24;
0;0;19/12/1965;M;09/08/1998;21;Operacional ;R$ 4.593,33;0;93;BOM;26;18;0,13;
0;0;16/06/1965;M;12/02/1985;100;Operacional ;R$ 6.770,00;0;94;OTIMO;5;3;0,05;
0;0;20/10/1970;M;9/24/90;74;Gerência;R$ 34.718,33;1;74;EXCELENTE;22;15;0,02;
1;0;20/07/1977;M;6/22/94;101;Operacional ;R$ 8.915,00;0;94;BOM;7;4;0,11;
0;0;24/02/1979;M;06/01/1999;102;Coordenação;R$ 14.910,00;1;95;BOM;19;13;0,11;
0;0;21/03/1963;M;2/21/00;103;Gerência;R$ 50.260,00;1;9;BOM;27;18;0,2;
0;0;30/06/1958;F;1/20/87;104;Administrativo;R$ 17.233,33;0;96;BOM;20;13;0,07;
0;0;28/05/1977;F;11/23/92;105;Coordenação;R$ 19.875,00;1;48;BOM;32;22;0,22;
0;0;24/06/1975;F;6/28/93;106;Administrativo;R$ 5.730,00;0;97;BOM;10;6;0,15;
0;0;30/08/1967;M;10/04/1993;107;Administrativo;R$ 14.265,00;1;98;OTIMO;31;21;0,25;
0;0;30/08/1959;F;07/11/1994;72;Administrativo;R$ 12.985,00;1;99;EXCELENTE;2;1;0,19;
0;0;21/10/1972;F;03/03/1986;108;Administrativo;R$ 18.726,67;1;99;BOM;5;3;0,04;
0;0;13/04/1965;M;11/09/1998;109;Administrativo;R$ 5.900,00;0;100;OTIMO;11;7;0,11;
0;0;16/10/1975;F;01/02/2001;110;Gerência;R$ 36.151,67;1;101;BOM;7;4;0,12;
0;0;17/12/1967;F;07/01/1980;111;Administrativo;R$ 1.896,67;0;99;INSATISFATORIO;15;10;0,26;
0;0;18/12/1964;M;1/31/00;112;Administrativo;R$ 3.585,00;0;102;OTIMO;13;9;0,1;
0;0;16/06/1961;M;11/03/1998;113;Operacional ;R$ 2.870,00;0;103;BOM;30;20;0,1;
0;0;24/01/1974;M;02/01/1993;11;Operacional ;R$ 2.403,33;0;104;BOM;10;6;0,26;
0;0;18/12/1967;M;1/20/97;11;Operacional ;R$ 2.018,33;0;105;BOM;24;16;0,26;
1;0;14/03/1973;M;05/03/1993;114;Operacional ;R$ 4.681,67;0;106;BOM;12;8;0,05;
0;0;23/09/1975;F;07/05/1993;115;Administrativo;R$ 6.600,00;0;107;OTIMO;32;22;0,2;
0;0;16/06/1963;M;4/22/97;116;Operacional ;R$ 3.956,67;0;108;EXCELENTE;13;9;0,05;
0;0;13/09/1978;M;6/20/94;117;Administrativo;R$ 5.365,00;0;109;BOM;14;9;0,16;
0;0;21/06/1978;M;6/13/94;116;Operacional ;R$ 4.966,67;0;110;BOM;13;9;0,05;
0;0;27/06/1974;M;1/27/86;113;Operacional ;R$ 2.883,33;0;111;BOM;18;12;0,1;
0;0;27/02/1982;M;05/05/1986;113;Operacional ;R$ 2.646,67;0;112;BOM;29;20;0,1;
0;0;20/12/1956;F;04/11/1988;115;Administrativo;R$ 5.540,00;0;113;BOM;13;9;0,2;
0;0;26/04/1961;M;07/10/1989;113;Operacional ;R$ 2.370,00;0;112;OTIMO;22;15;0,1;
0;0;18/01/1961;M;07/12/1989;115;Administrativo;R$ 6.831,67;0;114;OTIMO;17;11;0,2;
0;0;25/12/1953;M;09/11/1990;113;Operacional ;R$ 3.471,67;0;115;EXCELENTE;26;18;0,1;
0;0;23/07/1957;M;10/21/91;11;Operacional ;R$ 2.766,67;0;110;BOM;1;0;0,26;
0;0;19/07/1964;M;5/25/92;118;Gerência;R$ 35.973,33;1;116;OTIMO;21;14;0,02;
0;0;23/12/1971;M;11/01/1994;113;Operacional ;R$ 2.845,00;0;117;INSATISFATORIO;13;9;0,1;
1;0;17/06/1968;M;01/10/1995;115;Administrativo;R$ 6.273,33;0;118;BOM;29;20;0,2;
0;0;28/03/1974;M;3/29/94;113;Operacional ;R$ 3.101,67;0;104;BOM;6;4;0,1;
0;0;29/06/1962;M;10/30/95;119;Administrativo;R$ 2.310,00;0;104;BOM;6;4;0,08;
0;0;26/11/1961;M;08/01/1996;120;Administrativo;R$ 14.055,00;1;119;BOM;4;2;0,25;
0;0;28/03/1983;M;10/14/97;116;Operacional ;R$ 3.225,00;0;120;OTIMO;14;9;0,05;
0;0;30/08/1963;M;02/03/1998;121;Gerência;R$ 22.500,00;1;121;BOM;3;2;0,02;
0;0;25/07/1963;M;5/24/99;122;Operacional ;R$ 4.055,00;0;122;BOM;13;9;0,15;
0;0;26/05/1965;M;10/05/1999;113;Operacional ;R$ 2.546,67;0;123;INSATISFATORIO;26;18;0,1;
0;0;16/10/1962;M;10/20/99;115;Administrativo;R$ 6.991,67;0;124;BOM;9;6;0,2;
0;0;15/12/1978;F;2/23/00;123;Administrativo;R$ 5.865,00;0;125;BOM;11;7;0,26;
0;0;14/12/1962;M;02/08/1985;124;Operacional ;R$ 6.871,67;0;126;BOM;17;11;0,12;
0;0;27/03/1958;M;3/22/85;125;Operacional ;R$ 8.768,33;0;127;BOM;15;10;0,07;
0;0;23/12/1963;M;11/21/85;126;Operacional ;R$ 7.053,33;0;128;BOM;12;8;0,25;
0;0;23/07/1982;M;2/20/86;127;Operacional ;R$ 9.450,00;0;126;OTIMO;20;13;0,03;
0;0;30/12/1982;M;06/02/1986;128;Operacional ;R$ 6.048,33;0;129;OTIMO;23;15;0,12;
0;0;14/11/1966;M;5/19/83;129;Administrativo;R$ 7.836,67;0;130;BOM;17;11;0,21;
0;0;18/02/1982;M;12/08/1986;130;Administrativo;R$ 10.225,00;0;131;BOM;20;13;0,08;
0;0;25/01/1973;M;1/28/87;131;Coordenação;R$ 42.273,33;1;132;BOM;28;19;0,2;
0;0;15/02/1979;M;11/24/87;132;Operacional ;R$ 3.881,67;0;133;BOM;26;18;0,14;
1;0;26/10/1962;M;3/22/88;133;Operacional ;R$ 6.730,00;0;134;OTIMO;17;11;0,12;
0;0;31/05/1972;M;5/17/88;125;Operacional ;R$ 8.113,33;0;135;INSATISFATORIO;2;1;0,07;
0;0;22/07/1969;M;9/13/88;134;Operacional ;R$ 6.795,00;0;136;BOM;16;11;0,25;
0;0;18/07/1972;M;9/27/88;135;Operacional ;R$ 6.543,33;0;128;BOM;0;0;0,06;
0;0;24/08/1981;M;11/29/88;136;Operacional ;R$ 4.886,67;0;137;OTIMO;27;18;0,16;
1;0;21/08/1979;M;5/16/89;73;Operacional ;R$ 4.588,33;0;138;OTIMO;0;0;0,22;
0;0;15/08/1985;M;5/23/89;137;Operacional ;R$ 6.236,67;0;135;EXCELENTE;25;17;0,22;
0;0;29/08/1977;M;10/17/89;32;Operacional ;R$ 4.991,67;0;139;OTIMO;32;22;0,06;
0;0;13/02/1971;M;11/14/89;138;Administrativo;R$ 19.846,67;1;140;INSATISFATORIO;13;9;0,15;
0;0;17/12/1981;M;09/03/1990;139;Administrativo;R$ 11.345,00;0;141;OTIMO;9;6;0,12;
1;0;27/10/1969;M;06/04/1991;140;Operacional ;R$ 7.053,33;0;142;BOM;26;18;0,04;
0;0;22/09/1977;M;03/11/1992;141;Operacional ;R$ 10.225,00;0;130;BOM;30;20;0,24;
0;0;27/03/1978;M;2/16/94;83;Coordenação;R$ 35.273,33;1;143;BOM;16;11;0,2;
0;0;18/05/1966;M;1/25/95;126;Operacional ;R$ 7.053,33;0;128;BOM;18;12;0,25;
0;0;21/07/1981;M;04/05/1995;142;Operacional ;R$ 5.605,00;0;144;BOM;30;20;0,13;
0;0;21/05/1979;M;4/24/95;73;Operacional ;R$ 4.886,67;0;145;BOM;16;11;0,22;
0;0;17/06/1983;F;02/01/1996;143;Administrativo;R$ 14.965,00;0;146;BOM;26;18;0,04;
0;0;26/01/1979;M;07/09/1997;144;Operacional ;R$ 6.530,00;0;147;BOM;18;12;0,09;
0;0;16/10/1974;M;09/02/1998;68;Operacional ;R$ 6.048,33;0;129;BOM;30;20;0,09;
0;0;21/12/1980;M;01/11/1999;145;Administrativo;R$ 24.438,33;1;141;BOM;3;2;0,04;
0;0;14/06/1979;M;1/13/86;84;Operacional ;R$ 5.605,00;0;133;BOM;25;17;0,14;
0;0;15/08/1984;M;2/23/87;32;Operacional ;R$ 4.883,33;0;139;BOM;5;3;0,06;
0;0;22/07/1966;M;1/24/94;141;Operacional ;R$ 8.116,67;0;148;BOM;23;15;0,24;
0;0;24/12/1983;M;08/04/1999;146;Coordenação;R$ 21.248,33;1;149;OTIMO;14;9;0,08;
0;0;27/09/1976;F;9/20/99;147;Administrativo;R$ 15.900,00;1;140;OTIMO;22;15;0,25;
0;0;15/12/1960;M;01/10/2000;148;Operacional ;R$ 10.225,00;0;150;BOM;25;17;0,11;
0;0;30/01/1970;M;02/07/2001;142;Operacional ;R$ 7.053,33;0;151;BOM;3;2;0,13;
0;0;18/01/1977;M;02/07/2001;144;Operacional ;R$ 6.530,00;0;151;BOM;15;10;0,09;
0;0;13/11/1973;M;02/07/2001;149;Operacional ;R$ 5.605,00;0;136;OTIMO;10;6;0,05;
0;0;22/11/1958;M;02/07/2001;150;Operacional ;R$ 7.053,33;0;133;BOM;20;13;0,13;
1;0;20/04/1980;M;4/25/01;148;Operacional ;R$ 7.726,67;0;150;OTIMO;30;20;0,11;
0;0;27/04/1970;M;09/08/1999;113;Operacional ;R$ 3.366,67;0;152;BOM;5;3;0,1;
0;0;23/02/1984;F;4/17/00;98;Administrativo;R$ 14.563,33;0;153;EXCELENTE;9;6;0,12;
0;0;17/06/1965;M;08/03/1987;151;Operacional ;R$ 4.191,67;0;154;BOM;30;20;0,25;
0;0;23/01/1974;M;5/24/88;57;Operacional ;R$ 3.303,33;0;155;BOM;23;15;0,07;
0;0;19/06/1979;M;07/06/1993;115;Administrativo;R$ 6.596,67;0;156;OTIMO;27;18;0,2;
0;0;17/12/1963;M;07/09/1980;132;Operacional ;R$ 3.511,67;0;157;OTIMO;25;17;0,14;
0;0;29/08/1961;M;02/05/1990;152;Operacional ;R$ 7.541,67;0;158;BOM;27;18;0,23;
0;0;20/11/1977;M;12/17/85;153;Coordenação;R$ 36.801,67;1;74;OTIMO;22;15;0,22;
0;0;29/03/1969;M;07/04/1989;154;Operacional ;R$ 2.990,00;0;159;BOM;17;11;0,11;
0;0;19/06/1978;M;06/03/1991;155;Administrativo;R$ 14.551,67;1;160;BOM;26;18;0,13;
0;0;16/11/1974;M;11/25/93;156;Operacional ;R$ 3.366,67;0;161;OTIMO;12;8;0,25;
0;0;27/08/1980;M;3/24/97;157;Operacional ;R$ 3.798,33;0;162;BOM;21;14;0,2;
0;0;29/08/1977;M;10/22/97;141;Operacional ;R$ 6.300,00;0;163;BOM;8;5;0,24;
0;0;25/01/1974;M;2/18/98;144;Operacional ;R$ 4.525,00;0;164;BOM;12;8;0,09;
0;0;16/04/1979;M;01/12/1999;158;Administrativo;R$ 14.666,67;1;165;BOM;23;15;0,05;
0;0;23/05/1975;M;03/01/2001;159;Administrativo;R$ 9.746,67;0;158;BOM;7;4;0,11;
0;0;29/10/1972;M;4/30/01;160;Operacional ;R$ 4.318,33;0;161;BOM;30;20;0,05;
0;0;31/07/1960;F;1/25/99;138;Administrativo;R$ 17.945,00;1;166;BOM;4;2;0,15;
0;0;29/04/1973;M;11/22/99;21;Operacional ;R$ 3.226,67;0;167;BOM;15;10;0,13;
0;0;14/12/1981;M;02/07/2000;21;Operacional ;R$ 3.878,33;0;168;BOM;19;13;0,13;
0;0;30/08/1963;M;6/26/00;161;Coordenação;R$ 16.616,67;1;169;OTIMO;5;3;0,07;
0;0;30/08/1980;M;4/23/01;21;Operacional ;R$ 3.526,67;0;167;OTIMO;23;15;0,13;
0;0;13/04/1973;F;7/26/93;162;Administrativo;R$ 9.336,67;0;170;BOM;10;6;0,06;
0;0;13/07/1979;M;7/31/95;163;Coordenação;R$ 52.255,00;1;171;OTIMO;11;7;0,2;
0;0;25/10/1957;M;01/01/1996;164;Coordenação;R$ 40.766,67;1;172;OTIMO;30;20;0,26;
0;0;21/10/1980;M;01/01/1999;165;Gerência;R$ 29.675,00;1;173;OTIMO;32;22;0,09;
